u_id,u_school,u_keyboard,session_type,session_rating,avgcpm,session
201001,bmc,swiftkey,2,4,22.742,1
201001,bmc,swiftkey,3,5,27.375,2
201001,bmc,swiftkey,4,5,27.299,3
201001,bmc,swiftkey,5,5,29.714444,4
201001,bmc,swiftkey,6,4,29.738,5
201001,bmc,swiftkey,7,5,32.816,6
201001,bmc,swiftkey,8,4,32.957,7
201001,bmc,swiftkey,9,4,30.836,8
201001,bmc,swiftkey,10,4,38.378,9
201001,bmc,swiftkey,11,5,40.466,10
201001,bmc,swiftkey,12,5,39.41,11
201001,bmc,swiftkey,13,4,45.472,12
201001,bmc,swiftkey,14,4,36.399,13
201001,bmc,swiftkey,15,4,38.772,14
201001,bmc,swiftkey,16,4,41.764,15
201001,bmc,swiftkey,17,4,42.074,16
201001,bmc,swiftkey,18,4,42.889,17
201001,bmc,swiftkey,19,5,46.145,18
201001,bmc,swiftkey,20,4,45.685,19
201001,bmc,swiftkey,21,4,39.925,20
201001,bmc,swiftkey,22,4,41.211,21
201001,bmc,swiftkey,23,4,42.576,22
201001,bmc,swiftkey,24,4,46.095,23
201001,bmc,swiftkey,25,4,41.648,24
201001,bmc,swiftkey,26,5,48.968,25
201001,bmc,swiftkey,27,4,48.807,26
201001,bmc,swiftkey,28,5,54.356,27
201001,bmc,swiftkey,29,5,50.227,28
201001,bmc,swiftkey,30,5,47.211111,29
201001,bmc,swiftkey,31,5,34.305,30
201002,bmc,sparsh,2,5,18.806,1
201002,bmc,sparsh,3,5,22.607,2
201002,bmc,sparsh,4,0,17.716,3
201002,bmc,sparsh,5,4,19.847778,4
201002,bmc,sparsh,6,5,23.053,5
201002,bmc,sparsh,7,5,26.985,6
201002,bmc,sparsh,8,5,28.215,7
201002,bmc,sparsh,9,4,30.696,8
201002,bmc,sparsh,10,4,30.239,9
201002,bmc,sparsh,11,5,30.449,10
201002,bmc,sparsh,12,5,33.782222,11
201002,bmc,sparsh,13,5,36.191,12
201002,bmc,sparsh,14,5,32.77125,13
201002,bmc,sparsh,15,5,33.395,14
201002,bmc,sparsh,16,4,30.292,15
201002,bmc,sparsh,17,5,31.7,16
201002,bmc,sparsh,18,5,33.533,17
201002,bmc,sparsh,19,5,36.545,18
201002,bmc,sparsh,20,5,40.336,19
201002,bmc,sparsh,21,5,34.973,20
201002,bmc,sparsh,22,5,41.883,21
201002,bmc,sparsh,23,4,35.046,22
201002,bmc,sparsh,24,5,39.003,23
201002,bmc,sparsh,25,5,36.833,24
201002,bmc,sparsh,26,5,37.278,25
201002,bmc,sparsh,27,5,32.643,26
201002,bmc,sparsh,28,5,39.393,27
201002,bmc,sparsh,29,5,37.767,28
201002,bmc,sparsh,30,5,35.33,29
201002,bmc,sparsh,31,5,39.469,30
201003,bmc,cdac,2,4,10.629,1
201003,bmc,cdac,3,2,16.762,2
201003,bmc,cdac,4,4,16.274,3
201003,bmc,cdac,5,4,16.789,4
201003,bmc,cdac,6,4,24.049,5
201003,bmc,cdac,7,4,28.673,6
201003,bmc,cdac,8,4,24.93,7
201003,bmc,cdac,9,5,28.058,8
201003,bmc,cdac,10,4,28.082,9
201003,bmc,cdac,11,2,24.543,10
201003,bmc,cdac,12,2,31.579,11
201003,bmc,cdac,13,4,31.692,12
201003,bmc,cdac,14,4,32.967,13
201003,bmc,cdac,15,3,34.89,14
201003,bmc,cdac,16,4,35.708,15
201003,bmc,cdac,17,4,27.323,16
201003,bmc,cdac,18,4,36.547,17
201003,bmc,cdac,19,3,30.259,18
201003,bmc,cdac,20,4,32.536,19
201003,bmc,cdac,21,4,28.469,20
201003,bmc,cdac,22,4,30.389,21
201003,bmc,cdac,23,5,30.613,22
201003,bmc,cdac,24,5,36.681,23
201003,bmc,cdac,25,5,36.326,24
201003,bmc,cdac,26,5,35.102,25
201003,bmc,cdac,27,5,34.298,26
201003,bmc,cdac,28,5,36.729,27
201003,bmc,cdac,29,5,32.858,28
201003,bmc,cdac,30,5,34.315,29
201003,bmc,cdac,31,4,33.025,30
201004,bmc,swc,2,4,18.214,1
201004,bmc,swc,3,4,22.458889,2
201004,bmc,swc,4,5,24.222,3
201004,bmc,swc,5,3,24.375556,4
201004,bmc,swc,6,4,27.417,5
201004,bmc,swc,7,4,28.454,6
201004,bmc,swc,8,5,28.602,7
201004,bmc,swc,9,4,33.487,8
201004,bmc,swc,10,4,36.726,9
201004,bmc,swc,11,4,33.67,10
201004,bmc,swc,12,4,27.568,11
201004,bmc,swc,13,4,26.222,12
201004,bmc,swc,14,5,40.129,13
201004,bmc,swc,15,4,36.968,14
201004,bmc,swc,16,4,44.906,15
201004,bmc,swc,17,5,33.349,16
201004,bmc,swc,18,5,36.663,17
201004,bmc,swc,19,4,36.81,18
201004,bmc,swc,20,4,35.158,19
201004,bmc,swc,21,5,41.091,20
201004,bmc,swc,22,5,29.947,21
201004,bmc,swc,23,5,33.158,22
201004,bmc,swc,24,5,44.835,23
201004,bmc,swc,25,4,37.27,24
201004,bmc,swc,26,4,35.54,25
201004,bmc,swc,27,5,29.961,26
201004,bmc,swc,28,5,33.165,27
201004,bmc,swc,29,5,34.265,28
201004,bmc,swc,30,5,34.278,29
201004,bmc,swc,31,4,34.778,30
201005,bmc,sparsh,2,5,25.81,1
201005,bmc,sparsh,3,5,23.74,2
201005,bmc,sparsh,4,5,30.59,3
201005,bmc,sparsh,5,5,26.991,4
201005,bmc,sparsh,6,5,28.083,5
201005,bmc,sparsh,7,2,22.602222,6
201005,bmc,sparsh,8,5,37.934,7
201005,bmc,sparsh,9,5,38.335,8
201005,bmc,sparsh,10,5,35.378,9
201005,bmc,sparsh,11,5,33.364444,10
201005,bmc,sparsh,12,5,37.946,11
201005,bmc,sparsh,13,5,41.196,12
201005,bmc,sparsh,14,5,39.221,13
201005,bmc,sparsh,15,5,42.182,14
201005,bmc,sparsh,16,5,36.834,15
201005,bmc,sparsh,17,5,38.028,16
201005,bmc,sparsh,18,4,31.181,17
201005,bmc,sparsh,19,5,40.148,18
201005,bmc,sparsh,20,5,42.639,19
201005,bmc,sparsh,21,4,45.586,20
201005,bmc,sparsh,22,5,37.471,21
201005,bmc,sparsh,23,5,46.665,22
201005,bmc,sparsh,24,4,49.725556,23
201005,bmc,sparsh,25,4,48.058,24
201005,bmc,sparsh,26,5,56.366667,25
201005,bmc,sparsh,27,4,49.612,26
201005,bmc,sparsh,28,4,44.768,27
201005,bmc,sparsh,29,5,58.876,28
201005,bmc,sparsh,30,5,57.444,29
201005,bmc,sparsh,31,5,53.458,30
201007,bmc,swiftkey,2,5,14.306,1
201007,bmc,swiftkey,3,2,14.942,2
201007,bmc,swiftkey,4,2,19.908889,3
201007,bmc,swiftkey,5,4,22.351,4
201007,bmc,swiftkey,6,4,27.036,5
201007,bmc,swiftkey,7,3,32.379,6
201007,bmc,swiftkey,8,2,29.463,7
201007,bmc,swiftkey,9,4,27.996,8
201007,bmc,swiftkey,10,4,33.2,9
201007,bmc,swiftkey,11,3,38.183,10
201007,bmc,swiftkey,12,3,28.69,11
201007,bmc,swiftkey,13,4,33.732,12
201007,bmc,swiftkey,14,2,34.892,13
201007,bmc,swiftkey,15,4,27.105,14
201007,bmc,swiftkey,16,2,36.22,15
201007,bmc,swiftkey,17,3,37.741,16
201007,bmc,swiftkey,18,4,26.563,17
201007,bmc,swiftkey,19,5,34.572,18
201007,bmc,swiftkey,20,5,37.192,19
201007,bmc,swiftkey,21,4,31.613,20
201007,bmc,swiftkey,22,5,36.669,21
201007,bmc,swiftkey,23,5,41.657,22
